target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
115000009,2026/01/29,05 10 15 17 23 25,05,12 38 03 08 26 32,02,,0,0,0,0,0,1-5,5-1,3-3,4-2,119,95,35,20,1,1,266.7819,12 38 03,"main_zero_hit,second_miss,odd_even_bias,spread_gap_large"
115000010,2026/02/02,01 12 14 15 27 29,05,23 10 05 25 15 17,02,15,1,0,2,0,2,5-1,4-2,4-2,4-2,95,98,20,28,1,2,266.7832,23 10 05,"main_one_hit,second_miss,run_pattern_mismatch"
115000011,2026/02/05,07 22 28 34 36 37,07,27 12 01 29 14 15,02,,0,0,0,0,0,4-2,2-4,4-2,1-5,98,164,28,30,2,2,266.783,27 12 01,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
115000012,2026/02/09,13 14 16 33 34 37,02,36 28 22 07 34 37,02,34 37,2,1,2,1,3,2-4,3-3,1-5,3-3,164,147,30,24,2,2,266.7824,36 28 22,"second_hit,low_high_bias"
115000013,2026/02/12,06 10 22 25 32 35,03,13 33 16 14 34 37,02,,0,0,0,0,0,3-3,2-4,3-3,2-4,147,130,24,29,2,1,267.7815,13 33 16,"main_zero_hit,second_miss,run_pattern_mismatch"
115000014,2026/02/16,02 06 19 33 36 38,03,06 10 22 25 35 32,02,06,1,0,1,0,1,2-4,2-4,2-4,3-3,130,134,29,36,1,1,267.7819,06 10 22,"main_one_hit,second_miss"
115000015,2026/02/19,02 03 06 12 23 27,04,02 36 38 19 33 06,02,02 06,2,0,2,0,2,2-4,3-3,3-3,4-2,134,73,36,25,1,2,267.7838,02 36 38,"second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
115000016,2026/02/23,04 10 13 24 31 35,02,02 27 23 12 03 06,02,,0,1,0,1,1,3-3,3-3,4-2,3-3,73,117,25,31,2,1,267.7838,02 27 23,"main_zero_hit,second_hit,run_pattern_mismatch,sum_gap_large"
115000017,2026/02/26,03 19 27 30 37 38,02,13 24 04 31 10 35,02,,0,1,1,1,2,3-3,4-2,3-3,2-4,117,154,31,35,1,2,268.7842,13 24 04,"main_zero_hit,second_hit,run_pattern_mismatch,sum_gap_large"
115000018,2026/03/02,07 09 11 23 25 29,05,30 27 38 19 03 37,02,,0,0,0,0,0,4-2,6-0,2-4,3-3,154,104,35,22,2,1,269.7824,30 27 38,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
115000019,2026/03/05,07 11 14 32 36 38,02,09 23 29 11 25 07,02,07 11,2,1,2,1,3,6-0,2-4,3-3,3-3,104,138,22,31,1,1,269.7826,09 23 29,"second_hit,odd_even_bias,sum_gap_large"
115000020,2026/03/09,01 11 14 17 29 32,08,36 32 38 11 14 07,02,11 14 32,3,0,3,0,3,2-4,4-2,3-3,4-2,138,104,31,31,1,1,270.7813,36 32 38,"main_good_hit,second_miss,odd_even_bias,sum_gap_large"
115000021,2026/03/12,04 09 15 25 27 31,08,01 17 29 32 11 14,02,,0,0,0,0,0,4-2,5-1,4-2,3-3,104,111,31,27,1,1,270.7812,01 17 29,"main_zero_hit,second_miss"
115000022,2026/03/16,14 26 28 31 32 34,01,09 04 31 27 15 25,02,31,1,0,1,0,1,5-1,1-5,3-3,1-5,111,165,27,20,1,2,270.7835,09 04 31,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000023,2026/03/19,09 13 14 18 31 34,01,28 26 31 34 32 14,02,14 31 34,3,0,4,0,4,1-5,3-3,1-5,4-2,165,119,20,25,2,2,270.7815,28 26 31,"main_good_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
115000024,2026/03/23,01 09 18 28 33 38,05,18 13 09 31 34 14,02,09 18,2,0,3,0,3,3-3,3-3,4-2,3-3,119,127,25,37,2,2,270.7827,18 13 09,"second_miss,spread_gap_large"
115000025,2026/03/26,13 14 22 28 35 38,05,18 09 33 28 01 38,02,28 38,2,0,3,0,3,3-3,2-4,3-3,2-4,127,150,37,25,2,2,270.7835,18 09 33,"second_miss,spread_gap_large"
115000026,2026/03/30,02 13 21 22 29 34,01,13 28 22 35 38 14,02,13 22,2,0,2,0,2,2-4,3-3,2-4,2-4,150,121,25,32,2,2,270.7813,13 28 22,"second_miss,sum_gap_large"
