target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
115000011,2026/02/05,07 22 28 34 36 37,07,01 05 12 14 27 29,02,,0,0,0,0,0,4-2,2-4,4-2,1-5,88,164,28,30,1,2,266.7548,12 27 29,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000012,2026/02/09,13 14 16 33 34 37,02,12 22 28 34 36 37,02,34 37,2,1,2,1,3,1-5,3-3,1-5,3-3,169,147,25,24,2,2,266.7551,34 28 36,"second_hit,odd_even_bias,low_high_bias"
115000013,2026/02/12,06 10 22 25 32 35,03,13 16 28 33 34 37,02,,0,0,0,0,0,3-3,2-4,2-4,2-4,161,130,24,29,2,1,267.7553,34 33 13,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
115000014,2026/02/16,02 06 19 33 36 38,03,06 10 25 32 34 35,02,06,1,0,2,0,2,2-4,2-4,2-4,3-3,142,134,29,36,2,1,267.7552,32 35 25,"main_one_hit,second_miss,run_pattern_mismatch"
115000015,2026/02/19,02 03 06 12 23 27,04,02 06 19 32 33 36,02,02 06,2,0,2,0,2,2-4,3-3,3-3,4-2,128,73,34,25,2,2,267.7553,02 33 36,"second_miss,sum_gap_large"
115000016,2026/02/23,04 10 13 24 31 35,02,02 06 12 23 27 33,02,,0,1,0,1,1,3-3,3-3,3-3,3-3,103,117,31,31,1,1,267.7553,02 23 12,"main_zero_hit,second_hit"
115000017,2026/02/26,03 19 27 30 37 38,02,02 04 10 13 31 35,02,,0,1,1,1,2,3-3,4-2,4-2,2-4,95,154,33,35,1,2,268.755,13 31 35,"main_zero_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000018,2026/03/02,07 09 11 23 25 29,05,13 19 27 30 37 38,02,,0,0,0,0,0,4-2,6-0,2-4,3-3,164,104,25,22,2,1,269.7548,30 27 37,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
115000019,2026/03/05,07 11 14 32 36 38,02,09 11 23 25 29 30,02,11,1,1,2,1,3,5-1,2-4,2-4,3-3,127,138,21,31,2,1,269.7553,09 23 11,"main_one_hit,second_hit,run_pattern_mismatch,odd_even_bias,spread_gap_large"
115000020,2026/03/09,01 11 14 17 29 32,08,07 09 11 14 32 36,02,11 14 32,3,0,3,0,3,3-3,4-2,4-2,4-2,109,104,29,31,1,1,270.7551,32 36 11,"main_good_hit,second_miss"
115000021,2026/03/12,04 09 15 25 27 31,08,01 11 17 29 32 36,02,,0,0,0,0,0,4-2,5-1,3-3,3-3,126,111,35,27,1,1,270.7549,32 11 17,"main_zero_hit,second_miss"
115000022,2026/03/16,14 26 28 31 32 34,01,09 15 25 27 31 32,02,31 32,2,0,2,0,2,5-1,1-5,2-4,1-5,139,165,23,20,2,2,270.7553,09 31 27,"second_miss,odd_even_bias,sum_gap_large"
115000023,2026/03/19,09 13 14 18 31 34,01,09 26 28 31 32 34,02,09 31 34,3,0,4,0,4,2-4,3-3,1-5,4-2,160,119,25,25,2,2,270.7557,34 32 28,"main_good_hit,second_miss,low_high_bias,sum_gap_large"
115000024,2026/03/23,01 09 18 28 33 38,05,09 13 18 31 32 34,02,09 18,2,0,3,0,3,3-3,3-3,3-3,3-3,137,127,25,37,2,2,270.7559,09 34 13,"second_miss,spread_gap_large"
115000025,2026/03/26,13 14 22 28 35 38,05,01 09 18 28 33 34,02,28,1,0,3,0,3,3-3,2-4,3-3,2-4,123,150,33,25,2,2,270.7558,09 33 28,"main_one_hit,second_miss,sum_gap_large"
115000026,2026/03/30,02 13 21 22 29 34,01,09 13 14 22 28 35,02,13 22,2,0,2,0,2,3-3,3-3,3-3,2-4,121,121,26,32,2,2,270.7552,28 13 35,second_miss
115000027,2026/04/02,05 15 17 23 25 34,06,02 13 21 28 29 34,02,34,1,0,1,0,1,3-3,5-1,2-4,3-3,127,119,32,29,2,1,270.7556,34 02 21,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000028,2026/04/06,05 08 22 27 35 38,04,02 05 17 23 25 34,02,05,1,0,1,0,1,4-2,3-3,3-3,2-4,106,135,32,33,1,1,270.7556,05 34 23,"main_one_hit,second_miss,sum_gap_large"
115000029,2026/04/09,04 09 13 27 29 34,03,05 08 22 27 34 35,02,27 34,2,0,2,0,2,3-3,4-2,2-4,3-3,131,116,30,30,2,1,270.7552,05 35 27,"second_miss,run_pattern_mismatch"
115000030,2026/04/13,03 10 11 16 19 24,05,05 09 13 27 29 34,02,,0,0,0,0,0,5-1,3-3,3-3,5-1,117,83,29,21,1,2,270.7558,09 34 13,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000031,2026/04/16,04 11 16 22 30 38,06,03 10 11 16 19 34,02,11 16,2,0,2,0,2,3-3,1-5,5-1,3-3,93,121,31,34,2,1,270.7545,11 10 19,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000032,2026/04/20,07 13 19 34 35 37,08,04 10 11 16 22 30,02,,0,0,1,0,1,1-5,5-1,4-2,3-3,93,145,26,30,2,2,270.7545,30 11 16,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
115000033,2026/04/23,10 14 15 16 27 33,05,13 19 30 34 35 37,02,,0,0,0,0,0,4-2,3-3,2-4,4-2,168,115,24,23,2,3,270.7552,34 13 35,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000034,2026/04/27,06 08 27 33 35 38,02,10 15 16 27 33 34,02,27 33,2,1,3,1,4,3-3,3-3,3-3,2-4,135,147,24,32,2,1,270.7549,33 27 10,"second_hit,run_pattern_mismatch"
115000035,2026/04/30,01 04 13 19 27 30,08,06 08 10 27 33 35,02,27,1,0,1,0,1,3-3,4-2,3-3,4-2,119,94,29,29,1,1,271.7549,33 35 27,"main_one_hit,second_miss,sum_gap_large"
