target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
115000019,2026/03/05,07 11 14 32 36 38,02,05 08 18 20 21 26,02,,0,1,0,1,1,2-4,2-4,3-3,3-3,98,138,21,31,2,1,282.6035,21 18 20,"main_zero_hit,second_hit,run_pattern_mismatch,sum_gap_large,spread_gap_large"
115000020,2026/03/09,01 11 14 17 29 32,08,05 08 18 20 21 26,02,,0,0,1,0,1,2-4,4-2,3-3,4-2,98,104,21,31,2,1,284.047,21 18 20,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,spread_gap_large"
115000021,2026/03/12,04 09 15 25 27 31,08,05 08 18 20 21 26,02,,0,0,1,0,1,2-4,5-1,3-3,3-3,98,111,21,27,2,1,284.4584,21 18 20,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000022,2026/03/16,14 26 28 31 32 34,01,05 08 18 20 21 26,02,26,1,0,2,0,2,2-4,1-5,3-3,1-5,98,165,21,20,2,2,284.8422,21 18 20,"main_one_hit,second_miss,low_high_bias,sum_gap_large"
115000023,2026/03/19,09 13 14 18 31 34,01,05 08 16 18 20 21,02,18,1,0,1,0,1,2-4,3-3,4-2,4-2,88,119,16,25,2,2,284.8918,21 18 20,"main_one_hit,second_miss,sum_gap_large"
115000024,2026/03/23,01 09 18 28 33 38,05,05 08 16 20 21 33,02,33,1,0,1,0,1,3-3,3-3,3-3,3-3,103,127,28,37,2,2,284.3774,21 20 08,"main_one_hit,second_miss"
115000025,2026/03/26,13 14 22 28 35 38,05,02 05 08 16 20 21,02,,0,0,1,0,1,2-4,2-4,4-2,2-4,72,150,19,25,2,2,284.6759,21 20 08,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
115000026,2026/03/30,02 13 21 22 29 34,01,02 05 08 16 20 21,02,02 21,2,0,2,0,2,2-4,3-3,4-2,2-4,72,121,19,32,2,2,285.0521,21 20 08,"second_miss,low_high_bias,sum_gap_large,spread_gap_large"
115000027,2026/04/02,05 15 17 23 25 34,06,05 06 08 12 16 20,02,05,1,0,1,0,1,1-5,5-1,5-1,3-3,67,119,15,29,2,1,284.5572,20 08 05,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
115000028,2026/04/06,05 08 22 27 35 38,04,06 08 10 12 16 20,02,08,1,0,1,0,1,0-6,3-3,5-1,2-4,72,135,14,33,1,1,284.4742,20 08 16,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
115000029,2026/04/09,04 09 13 27 29 34,03,06 10 12 16 20 24,02,,0,0,0,0,0,0-6,4-2,4-2,3-3,88,116,18,30,1,1,284.3767,20 16 06,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large,spread_gap_large"
115000030,2026/04/13,03 10 11 16 19 24,05,06 10 12 16 20 24,02,10 16 24,3,0,3,0,3,0-6,3-3,4-2,5-1,88,83,18,21,1,2,284.7626,20 16 06,"main_good_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000031,2026/04/16,04 11 16 22 30 38,06,06 07 12 20 30 37,02,30,1,0,1,0,1,2-4,1-5,3-3,3-3,112,121,31,34,2,1,284.5271,20 06 12,"main_one_hit,second_miss,run_pattern_mismatch"
115000032,2026/04/20,07 13 19 34 35 37,08,06 07 12 20 36 37,02,07 37,2,0,2,0,2,2-4,5-1,3-3,3-3,118,145,31,30,2,2,284.7625,20 06 12,"second_miss,odd_even_bias,sum_gap_large"
115000033,2026/04/23,10 14 15 16 27 33,05,06 12 20 26 32 36,02,,0,0,0,0,0,0-6,3-3,2-4,4-2,132,115,30,23,1,3,284.5114,20 06 12,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias"
115000034,2026/04/27,06 08 27 33 35 38,02,06 12 20 26 32 36,02,06,1,1,1,1,2,0-6,3-3,2-4,2-4,132,147,30,32,1,1,284.8989,20 06 12,"main_one_hit,second_hit,odd_even_bias"
115000035,2026/04/30,01 04 13 19 27 30,08,12 20 26 31 32 36,02,,0,0,1,0,1,1-5,4-2,1-5,4-2,157,94,24,29,2,1,285.7504,20 12 36,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
