target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000102,2025/12/22,05 16 21 25 32 34,08,08 09 11 20 32 37,02,32,1,0,2,0,2,3-3,3-3,3-3,2-4,117,133,29,29,2,1,55.7558,20 11 09,"main_one_hit,second_miss,run_pattern_mismatch"
114000103,2025/12/25,06 12 21 22 28 34,08,05 09 11 16 20 32,02,,0,0,0,0,0,3-3,1-5,4-2,2-4,93,123,27,28,1,2,55.9506,20 11 32,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000104,2025/12/29,01 03 09 11 18 32,06,09 11 16 20 21 32,02,09 11 32,3,0,3,0,3,3-3,4-2,3-3,5-1,109,74,23,31,2,1,54.4227,20 11 32,"main_good_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000001,2026/01/01,07 14 22 23 31 35,01,09 11 16 20 21 32,02,,0,0,0,0,0,3-3,4-2,3-3,2-4,109,132,23,28,2,2,55.832,20 11 32,"main_zero_hit,second_miss"
115000002,2026/01/05,11 14 19 25 34 37,04,07 09 11 16 20 32,02,11,1,0,2,0,2,3-3,4-2,4-2,3-3,95,140,25,26,1,1,54.2121,20 11 32,"main_one_hit,second_miss,sum_gap_large"
115000003,2026/01/08,07 17 25 26 27 33,03,09 11 14 20 32 34,02,,0,0,0,0,0,2-4,5-1,3-3,2-4,120,135,25,26,1,3,55.0865,11 20 32,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000004,2026/01/12,01 09 14 17 33 38,03,07 09 11 20 32 34,02,09,1,0,2,0,2,3-3,4-2,3-3,4-2,113,112,27,37,1,2,53.6992,11 20 32,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
115000005,2026/01/15,08 10 16 26 31 38,05,07 09 11 14 20 32,02,,0,0,1,0,1,3-3,1-5,4-2,3-3,93,129,25,30,1,1,54.0949,11 20 09,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
115000006,2026/01/19,10 16 20 23 35 37,05,09 11 14 16 20 32,02,16 20,2,0,2,0,2,2-4,3-3,4-2,2-4,102,141,23,27,1,1,52.7376,11 20 09,"second_miss,low_high_bias,sum_gap_large"
115000007,2026/01/22,11 17 29 30 34 35,06,09 11 14 16 20 37,02,11,1,0,1,0,1,3-3,4-2,4-2,2-4,107,156,28,24,1,2,53.5885,20 11 16,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000008,2026/01/26,03 08 12 26 32 38,04,09 11 16 20 34 35,02,,0,0,0,0,0,3-3,1-5,3-3,3-3,125,119,26,35,2,1,53.3822,11 20 16,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000009,2026/01/29,05 10 15 17 23 25,05,08 11 16 20 32 35,02,,0,0,0,0,0,2-4,5-1,3-3,4-2,122,95,27,20,1,1,52.2609,11 20 32,"main_zero_hit,second_miss,odd_even_bias,sum_gap_large"
115000010,2026/02/02,01 12 14 15 27 29,05,11 16 17 20 32 35,05,,0,1,1,1,2,3-3,4-2,3-3,4-2,131,98,24,28,2,2,51.6802,11 20 32,"main_zero_hit,second_hit,sum_gap_large"
115000011,2026/02/05,07 22 28 34 36 37,07,11 14 16 17 20 32,05,,0,0,1,0,1,2-4,2-4,4-2,1-5,110,164,21,30,2,2,52.04,11 20 14,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
115000012,2026/02/09,13 14 16 33 34 37,02,11 14 20 32 34 37,05,14 34 37,3,0,4,0,4,2-4,3-3,2-4,3-3,148,147,26,24,1,2,51.6785,11 34 20,"main_good_hit,second_miss,run_pattern_mismatch"
115000013,2026/02/12,06 10 22 25 32 35,03,11 14 16 20 34 37,05,,0,0,1,0,1,2-4,2-4,3-3,2-4,132,130,26,29,1,1,54.0921,34 14 37,"main_zero_hit,second_miss"
115000014,2026/02/16,02 06 19 33 36 38,03,11 14 16 32 34 37,05,,0,0,0,0,0,2-4,2-4,3-3,3-3,144,134,26,36,1,1,52.9698,34 14 37,"main_zero_hit,second_miss,spread_gap_large"
115000015,2026/02/19,02 03 06 12 23 27,04,11 14 16 32 34 37,05,,0,0,0,0,0,2-4,3-3,3-3,4-2,144,73,26,25,1,2,51.4227,34 14 37,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large"
115000016,2026/02/23,04 10 13 24 31 35,02,06 14 16 32 34 37,05,,0,0,1,0,1,1-5,3-3,3-3,3-3,139,117,31,31,1,1,50.2291,34 14 37,"main_zero_hit,second_miss,odd_even_bias"
115000017,2026/02/26,03 19 27 30 37 38,02,06 14 32 34 35 37,02,37,1,1,1,1,2,2-4,4-2,2-4,2-4,158,154,31,35,2,2,50.128,35 34 14,"main_one_hit,second_hit,odd_even_bias"
115000018,2026/03/02,07 09 11 23 25 29,05,06 14 32 34 35 37,02,,0,0,1,0,1,2-4,6-0,2-4,3-3,158,104,31,22,2,1,50.6662,37 35 34,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
