target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000069,2025/08/28,09 13 14 17 23 30,05,03 04 14 15 24 38,02,14,1,0,1,0,1,2-4,4-2,4-2,4-2,98,106,35,21,2,2,2136.0,24 03 38,"main_one_hit,second_miss,odd_even_bias,spread_gap_large"
114000070,2025/09/01,02 07 16 18 28 29,04,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,2-4,4-2,4-2,98,100,35,27,2,2,2137.0,24 03 38,"main_zero_hit,second_miss"
114000071,2025/09/04,06 07 09 11 21 38,08,03 04 14 15 24 38,02,38,1,0,2,0,2,2-4,4-2,4-2,4-2,98,92,35,32,2,2,2137.0,24 03 38,"main_one_hit,second_miss,odd_even_bias"
114000072,2025/09/08,07 08 14 15 25 36,06,03 04 07 15 24 38,02,07 15,2,0,2,0,2,3-3,3-3,4-2,4-2,91,105,35,29,2,2,2138.0,24 03 38,second_miss
114000073,2025/09/11,11 18 21 27 31 35,06,03 04 07 15 24 38,02,,0,0,0,0,0,3-3,5-1,4-2,2-4,91,143,35,24,2,1,2140.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
114000074,2025/09/15,04 16 20 33 34 38,02,03 04 07 15 24 38,02,04 38,2,1,2,1,3,3-3,1-5,4-2,2-4,91,145,35,34,2,2,2140.0,24 03 38,"second_hit,odd_even_bias,low_high_bias,sum_gap_large"
114000075,2025/09/18,10 20 25 28 32 36,02,03 04 07 15 24 38,02,,0,1,0,1,1,3-3,1-5,4-2,1-5,91,151,35,26,2,1,2143.0,24 03 38,"main_zero_hit,second_hit,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000076,2025/09/22,10 11 14 22 31 33,02,03 04 07 15 24 38,02,,0,1,1,1,2,3-3,3-3,4-2,3-3,91,121,35,23,2,2,2144.0,24 03 38,"main_zero_hit,second_hit,sum_gap_large,spread_gap_large"
114000077,2025/09/25,08 12 14 24 28 35,03,03 04 14 15 24 38,02,14 24,2,0,2,0,2,2-4,1-5,4-2,3-3,98,121,35,27,2,1,2146.0,24 03 38,"second_miss,run_pattern_mismatch"
114000078,2025/09/29,12 16 17 20 27 36,03,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,2-4,4-2,3-3,98,128,35,24,2,2,2148.0,24 03 38,"main_zero_hit,second_miss,sum_gap_large,spread_gap_large"
114000079,2025/10/02,03 05 12 24 27 30,07,03 04 14 15 24 38,02,03 24,2,0,2,0,2,2-4,3-3,4-2,3-3,98,101,35,27,2,1,2148.0,24 03 38,"second_miss,run_pattern_mismatch"
114000080,2025/10/06,05 06 09 14 15 37,05,03 04 14 15 24 38,02,14 15,2,0,2,0,2,2-4,4-2,4-2,5-1,98,86,35,32,2,2,2150.0,24 03 38,"second_miss,odd_even_bias"
114000081,2025/10/09,01 06 11 20 34 35,08,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,3-3,4-2,3-3,98,107,35,34,2,2,2152.0,24 03 38,"main_zero_hit,second_miss"
114000082,2025/10/13,04 06 08 18 24 28,01,03 04 14 15 24 38,02,04 24,2,0,2,0,2,2-4,0-6,4-2,4-2,98,88,35,24,2,1,2152.0,24 03 38,"second_miss,run_pattern_mismatch,odd_even_bias,spread_gap_large"
114000083,2025/10/16,08 09 13 16 26 35,02,03 04 14 15 24 38,02,,0,1,0,1,1,2-4,3-3,4-2,4-2,98,107,35,27,2,2,2154.0,24 03 38,"main_zero_hit,second_hit"
114000084,2025/10/20,08 12 19 22 24 32,05,03 04 14 15 24 38,02,24,1,0,2,0,2,2-4,1-5,4-2,3-3,98,117,35,24,2,1,2155.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000085,2025/10/23,05 09 11 21 32 35,08,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,5-1,4-2,3-3,98,113,35,30,2,1,2156.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000086,2025/10/27,01 11 16 20 27 36,06,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,3-3,4-2,3-3,98,111,35,35,2,1,2156.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch"
114000087,2025/10/30,13 14 17 20 21 24,02,03 04 14 15 24 38,02,14 24,2,1,2,1,3,2-4,3-3,4-2,3-3,98,109,35,11,2,2,2156.0,24 03 38,"second_hit,spread_gap_large"
114000088,2025/11/03,04 18 20 30 32 35,04,03 04 14 15 24 38,02,04,1,0,1,0,1,2-4,1-5,4-2,2-4,98,139,35,31,2,1,2159.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000089,2025/11/06,11 18 20 25 29 37,08,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,4-2,4-2,2-4,98,140,35,26,2,1,2160.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000090,2025/11/10,06 12 28 29 31 32,04,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,2-4,4-2,2-4,98,138,35,26,2,2,2160.0,24 03 38,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
114000091,2025/11/13,02 09 11 15 26 34,04,03 04 14 15 24 38,02,15,1,0,1,0,1,2-4,3-3,4-2,4-2,98,97,35,32,2,1,2160.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch"
114000092,2025/11/17,17 18 19 28 34 36,06,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,2-4,4-2,3-3,98,152,35,19,2,3,2161.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000093,2025/11/20,03 08 17 20 31 35,07,03 04 14 15 24 38,02,03,1,0,1,0,1,2-4,4-2,4-2,3-3,98,114,35,32,2,1,2161.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000094,2025/11/24,07 09 19 20 33 34,07,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,4-2,4-2,3-3,98,122,35,27,2,2,2162.0,24 03 38,"main_zero_hit,second_miss,odd_even_bias"
114000095,2025/11/27,04 09 16 26 33 35,02,03 04 14 15 24 38,02,04,1,1,2,1,3,2-4,3-3,4-2,3-3,98,123,35,31,2,1,2162.0,24 03 38,"main_one_hit,second_hit,run_pattern_mismatch,sum_gap_large"
114000096,2025/12/01,05 07 08 11 32 37,02,03 04 14 15 24 38,02,,0,1,1,1,2,2-4,4-2,4-2,4-2,98,100,35,32,2,2,2164.0,24 03 04,"main_zero_hit,second_hit,odd_even_bias"
114000097,2025/12/04,03 06 07 10 29 33,01,03 04 14 15 24 38,02,03,1,0,2,0,2,2-4,4-2,4-2,4-2,98,88,35,30,2,2,2165.0,24 03 04,"main_one_hit,second_miss,odd_even_bias"
114000098,2025/12/08,05 14 15 20 32 37,02,03 04 14 15 24 38,02,14 15,2,1,2,1,3,2-4,3-3,4-2,3-3,98,123,35,32,2,2,2166.0,24 03 04,"second_hit,sum_gap_large"
114000099,2025/12/11,05 06 11 15 22 37,07,03 04 14 15 24 38,02,15,1,0,1,0,1,2-4,4-2,4-2,4-2,98,96,35,32,2,2,2169.0,24 03 04,"main_one_hit,second_miss,odd_even_bias"
114000100,2025/12/15,19 26 28 31 32 34,06,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,2-4,4-2,1-5,98,170,35,15,2,2,2170.0,24 03 04,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000101,2025/12/18,08 15 16 21 29 37,05,03 04 14 15 24 38,02,15,1,0,2,0,2,2-4,4-2,4-2,3-3,98,126,35,29,2,2,2170.0,24 03 04,"main_one_hit,second_miss,odd_even_bias,sum_gap_large"
114000102,2025/12/22,05 16 21 25 32 34,08,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,3-3,4-2,2-4,98,133,35,29,2,1,2171.0,24 03 04,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000103,2025/12/25,06 12 21 22 28 34,08,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,1-5,4-2,2-4,98,123,35,28,2,2,2171.0,24 03 04,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
114000104,2025/12/29,01 03 09 11 18 32,06,03 04 14 15 24 38,02,03,1,0,1,0,1,2-4,4-2,4-2,5-1,98,74,35,31,2,1,2171.0,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000001,2026/01/01,07 14 22 23 31 35,01,03 04 14 15 24 38,02,14,1,0,2,0,2,2-4,4-2,4-2,2-4,98,132,35,28,2,2,2172.0,24 03 04,"main_one_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
115000002,2026/01/05,11 14 19 25 34 37,04,03 04 14 15 24 38,02,14,1,0,1,0,1,2-4,4-2,4-2,3-3,98,140,35,26,2,1,2173.0,24 03 04,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large"
115000003,2026/01/08,07 17 25 26 27 33,03,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,5-1,4-2,2-4,98,135,35,26,2,3,2174.0,24 03 04,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000004,2026/01/12,01 09 14 17 33 38,03,03 04 14 15 24 38,02,14 38,2,0,2,0,2,2-4,4-2,4-2,4-2,98,112,35,37,2,2,2174.0,24 03 04,"second_miss,odd_even_bias"
115000005,2026/01/15,08 10 16 26 31 38,05,03 04 14 15 24 38,02,38,1,0,2,0,2,2-4,1-5,4-2,3-3,98,129,35,30,2,1,2176.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large"
115000006,2026/01/19,10 16 20 23 35 37,05,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,3-3,4-2,2-4,98,141,35,27,2,1,2177.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000007,2026/01/22,11 17 29 30 34 35,06,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,4-2,4-2,2-4,98,156,35,24,2,2,2177.0,24 03 38,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large,spread_gap_large"
115000008,2026/01/26,03 08 12 26 32 38,04,03 04 14 15 24 38,02,03 38,2,0,2,0,2,2-4,1-5,4-2,3-3,98,119,35,35,2,1,2177.0,24 03 38,"second_miss,run_pattern_mismatch"
115000009,2026/01/29,05 10 15 17 23 25,05,03 04 14 15 24 38,02,15,1,0,1,0,1,2-4,5-1,4-2,4-2,98,95,35,20,2,1,2179.0,24 03 38,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,spread_gap_large"
115000010,2026/02/02,01 12 14 15 27 29,05,03 04 14 15 24 38,02,14 15,2,0,2,0,2,2-4,4-2,4-2,4-2,98,98,35,28,2,2,2180.0,24 03 38,"second_miss,odd_even_bias"
115000011,2026/02/05,07 22 28 34 36 37,07,03 04 14 15 24 38,02,,0,0,1,0,1,2-4,2-4,4-2,1-5,98,164,35,30,2,2,2182.0,24 03 38,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
115000012,2026/02/09,13 14 16 33 34 37,02,03 04 14 15 24 38,02,14,1,1,2,1,3,2-4,3-3,4-2,3-3,98,147,35,24,2,2,2182.0,24 03 38,"main_one_hit,second_hit,sum_gap_large,spread_gap_large"
115000013,2026/02/12,06 10 22 25 32 35,03,03 04 14 15 24 38,02,,0,0,0,0,0,2-4,2-4,4-2,2-4,98,130,35,29,2,1,2184.0,24 03 38,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
