target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000075,2025/09/18,10 20 25 28 32 36,02,03 04 06 07 10 24,05,10,1,0,1,0,1,2-4,1-5,5-1,1-5,54,151,21,26,2,1,1855.4,24 07 04,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000076,2025/09/22,10 11 14 22 31 33,02,07 14 20 24 26 38,05,14,1,0,2,0,2,1-5,3-3,2-4,3-3,129,121,31,23,1,2,1834.4,07 38 24,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000077,2025/09/25,08 12 14 24 28 35,03,03 10 24 26 37 38,05,24,1,0,1,0,1,2-4,1-5,2-4,3-3,138,121,35,27,2,1,1911.4,24 03 37,"main_one_hit,second_miss,run_pattern_mismatch"
114000078,2025/09/29,12 16 17 20 27 36,03,04 07 16 18 22 24,01,16,1,0,2,0,2,1-5,2-4,4-2,3-3,91,128,20,24,1,2,1894.4,24 04 22,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large"
114000079,2025/10/02,03 05 12 24 27 30,07,04 07 14 16 17 24,03,24,1,0,2,0,2,2-4,3-3,5-1,3-3,82,101,20,27,2,1,1899.4,07 24 14,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias"
114000080,2025/10/06,05 06 09 14 15 37,05,03 04 16 22 24 38,02,,0,0,0,0,0,1-5,4-2,3-3,5-1,107,86,35,32,2,2,1908.4,24 03 04,"main_zero_hit,second_miss,odd_even_bias,low_high_bias"
114000081,2025/10/09,01 06 11 20 34 35,08,01 03 04 08 15 22,05,01,1,0,1,0,1,3-3,3-3,5-1,3-3,53,107,21,34,2,2,1825.4,08 15 01,"main_one_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000082,2025/10/13,04 06 08 18 24 28,01,03 10 15 17 22 24,08,24,1,0,2,0,2,3-3,0-6,4-2,4-2,91,88,21,24,1,1,1859.4,24 22 17,"main_one_hit,second_miss,odd_even_bias"
114000083,2025/10/16,08 09 13 16 26 35,02,01 03 04 24 27 38,02,,0,1,1,1,2,3-3,3-3,3-3,4-2,97,107,37,27,2,2,1938.4,04 24 01,"main_zero_hit,second_hit,spread_gap_large"
114000084,2025/10/20,08 12 19 22 24 32,05,04 14 15 18 24 29,05,24,1,1,2,1,3,2-4,1-5,4-2,3-3,104,117,25,24,2,1,1812.4,15 14 18,"main_one_hit,second_hit,run_pattern_mismatch"
114000085,2025/10/23,05 09 11 21 32 35,08,03 14 18 20 24 26,05,,0,0,1,0,1,1-5,5-1,3-3,3-3,105,113,23,30,1,1,1905.4,24 26 03,"main_zero_hit,second_miss,odd_even_bias"
114000086,2025/10/27,01 11 16 20 27 36,06,06 08 14 17 19 24,08,,0,0,1,0,1,2-4,3-3,5-1,3-3,88,111,18,35,1,1,1776.4,24 14 08,"main_zero_hit,second_miss,low_high_bias,spread_gap_large"
114000087,2025/10/30,13 14 17 20 21 24,02,03 04 07 10 14 24,07,14 24,2,0,3,0,3,2-4,3-3,5-1,3-3,62,109,21,11,2,2,1919.4,24 14 04,"second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000088,2025/11/03,04 18 20 30 32 35,04,03 04 06 07 16 29,05,04,1,0,2,0,2,3-3,1-5,5-1,2-4,65,139,26,31,2,1,1911.4,04 07 16,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000089,2025/11/06,11 18 20 25 29 37,08,03 04 07 16 17 24,02,,0,0,0,0,0,3-3,4-2,5-1,2-4,71,140,21,26,2,1,1864.4,07 17 03,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000090,2025/11/10,06 12 28 29 31 32,04,03 04 07 14 15 20,06,,0,0,0,0,0,3-3,2-4,5-1,2-4,63,138,17,26,2,2,1936.4,07 03 14,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
114000091,2025/11/13,02 09 11 15 26 34,04,15 16 22 24 26 38,02,15 26,2,0,2,0,2,1-5,3-3,2-4,4-2,141,97,23,32,2,1,1844.4,24 38 26,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000092,2025/11/17,17 18 19 28 34 36,06,03 08 13 14 29 36,02,36,1,0,1,0,1,3-3,2-4,4-2,3-3,103,152,33,19,2,3,1791.4,03 29 14,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large,spread_gap_large"
114000093,2025/11/20,03 08 17 20 31 35,07,03 14 17 24 27 38,07,03 17,2,1,2,1,3,3-3,4-2,3-3,3-3,123,114,35,32,1,1,1857.4,24 27 38,second_hit
114000094,2025/11/24,07 09 19 20 33 34,07,07 16 22 24 25 38,02,07,1,0,1,0,1,2-4,4-2,2-4,3-3,132,122,31,27,2,2,1890.4,25 22 24,"main_one_hit,second_miss,odd_even_bias"
114000095,2025/11/27,04 09 16 26 33 35,02,03 08 14 17 19 20,02,,0,1,1,1,2,3-3,3-3,5-1,3-3,81,123,17,31,2,1,1799.4,19 03 14,"main_zero_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000096,2025/12/01,05 07 08 11 32 37,02,01 03 14 16 18 24,05,,0,0,0,0,0,2-4,4-2,5-1,4-2,76,100,23,32,1,2,1842.4,24 14 16,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000097,2025/12/04,03 06 07 10 29 33,01,04 08 11 14 24 26,05,,0,0,1,0,1,1-5,4-2,4-2,4-2,87,88,22,30,1,2,1879.4,24 08 26,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000098,2025/12/08,05 14 15 20 32 37,02,03 07 15 19 24 38,02,15,1,1,1,1,2,4-2,3-3,4-2,3-3,106,123,35,32,1,2,1934.4,24 15 03,"main_one_hit,second_hit,run_pattern_mismatch"
114000099,2025/12/11,05 06 11 15 22 37,07,04 06 07 20 22 26,05,06 22,2,0,2,0,2,1-5,4-2,3-3,4-2,85,96,22,32,2,2,1863.4,20 04 07,"second_miss,odd_even_bias,spread_gap_large"
114000100,2025/12/15,19 26 28 31 32 34,06,01 03 08 15 24 38,02,,0,0,1,0,1,3-3,2-4,4-2,1-5,89,170,37,15,2,2,1931.4,24 01 38,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000101,2025/12/18,08 15 16 21 29 37,05,16 24 27 29 36 38,07,16 29,2,0,3,0,3,2-4,4-2,1-5,3-3,170,126,22,29,1,2,1766.4,24 27 36,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
114000102,2025/12/22,05 16 21 25 32 34,08,01 04 06 13 14 24,05,,0,0,0,0,0,2-4,3-3,5-1,2-4,62,133,23,29,2,1,1919.4,01 04 06,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
114000103,2025/12/25,06 12 21 22 28 34,08,11 14 22 24 26 29,06,22,1,0,2,0,2,2-4,1-5,2-4,2-4,126,123,18,28,1,2,1821.4,24 14 22,"main_one_hit,second_miss,run_pattern_mismatch,spread_gap_large"
114000104,2025/12/29,01 03 09 11 18 32,06,01 15 19 24 35 38,08,01,1,0,1,0,1,4-2,4-2,3-3,5-1,132,74,37,31,2,1,1861.4,24 38 01,"main_one_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000001,2026/01/01,07 14 22 23 31 35,01,03 14 19 22 24 38,07,14 22,2,0,2,0,2,2-4,4-2,3-3,2-4,120,132,35,28,1,2,1859.4,19 38 03,"second_miss,run_pattern_mismatch,odd_even_bias"
115000002,2026/01/05,11 14 19 25 34 37,04,03 15 19 24 37 38,02,19 37,2,0,2,0,2,4-2,4-2,3-3,3-3,136,140,35,26,2,1,1913.4,24 15 37,"second_miss,run_pattern_mismatch"
115000003,2026/01/08,07 17 25 26 27 33,03,03 04 07 11 14 24,02,07,1,0,2,0,2,3-3,5-1,5-1,2-4,63,135,21,26,2,3,1907.4,03 24 07,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000004,2026/01/12,01 09 14 17 33 38,03,04 07 08 14 15 24,03,14,1,1,1,1,2,2-4,4-2,5-1,4-2,72,112,20,37,2,2,1919.4,07 14 24,"main_one_hit,second_hit,odd_even_bias,sum_gap_large,spread_gap_large"
115000005,2026/01/15,08 10 16 26 31 38,05,03 08 14 16 22 24,03,08 16,2,0,3,0,3,1-5,1-5,4-2,3-3,87,129,21,30,1,1,1871.4,16 22 03,"second_miss,sum_gap_large"
115000006,2026/01/19,10 16 20 23 35 37,05,03 04 15 16 24 26,05,16,1,1,2,1,3,2-4,3-3,4-2,2-4,88,141,23,27,2,1,1936.4,24 26 15,"main_one_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large"
115000007,2026/01/22,11 17 29 30 34 35,06,03 04 06 15 20 24,05,,0,0,0,0,0,2-4,4-2,4-2,2-4,72,156,21,24,2,2,1909.4,24 04 20,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
115000008,2026/01/26,03 08 12 26 32 38,04,03 07 16 17 22 24,07,03,1,0,2,0,2,3-3,1-5,4-2,3-3,89,119,21,35,2,1,1911.4,24 17 03,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias,sum_gap_large,spread_gap_large"
115000009,2026/01/29,05 10 15 17 23 25,05,10 14 16 22 24 26,02,10,1,0,2,0,2,0-6,5-1,3-3,4-2,112,95,16,20,1,1,1932.4,26 22 24,"main_one_hit,second_miss,odd_even_bias"
