target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000043,2025/05/29,05 06 09 20 22 35,07,01 05 09 10 16 36,06,05 09,2,0,2,0,2,3-3,3-3,5-1,3-3,77,97,35,30,2,2,0.0,,"second_miss,low_high_bias"
114000044,2025/06/02,01 05 16 18 21 31,02,05 12 21 34 36 38,03,05 21,2,0,2,1,2,2-4,4-2,2-4,4-2,146,92,33,30,1,1,0.0,,"second_miss,odd_even_bias,low_high_bias,sum_gap_large"
114000045,2025/06/05,12 16 20 22 34 35,05,18 22 23 26 32 36,03,22,1,0,2,0,2,1-5,1-5,1-5,2-4,157,139,18,23,2,2,0.0,,"main_one_hit,second_miss"
114000046,2025/06/09,03 07 09 19 24 31,02,09 14 26 31 33 35,05,09 31,2,0,3,1,4,4-2,5-1,2-4,4-2,148,93,26,28,1,1,0.0,,"second_miss,low_high_bias,sum_gap_large"
114000047,2025/06/12,05 12 13 15 26 38,05,01 15 22 24 31 38,02,15 38,2,0,3,1,3,3-3,3-3,2-4,4-2,131,109,37,33,2,2,0.0,,"second_miss,low_high_bias"
114000048,2025/06/16,04 11 12 18 21 26,03,04 08 09 11 18 30,05,04 11 18,3,0,3,0,3,2-4,2-4,5-1,4-2,80,92,26,22,2,2,0.0,,"main_good_hit,second_miss"
114000049,2025/06/19,01 07 20 21 36 38,06,02 04 10 17 19 23,01,,0,0,2,1,2,3-3,3-3,5-1,2-4,75,123,21,37,1,2,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000050,2025/06/23,06 11 20 31 32 33,06,01 19 23 31 32 35,02,31 32,2,0,2,1,2,5-1,3-3,2-4,2-4,141,133,34,27,2,3,0.0,,"second_miss,run_pattern_mismatch,odd_even_bias"
114000051,2025/06/26,01 07 15 23 26 38,04,10 11 13 22 33 35,04,,0,1,2,1,2,4-2,4-2,3-3,3-3,124,110,25,37,2,2,0.0,,"main_zero_hit,second_hit,spread_gap_large"
114000052,2025/06/30,01 03 09 15 22 27,05,13 17 25 26 29 30,02,,0,0,1,1,1,4-2,5-1,2-4,4-2,140,77,17,26,2,1,0.0,,"main_zero_hit,second_miss,run_pattern_mismatch,low_high_bias,sum_gap_large"
