target_period,target_date,actual_main_numbers,actual_second_zone,predicted_main_numbers,predicted_second_zone,overlap_numbers,top1_main_hits,top1_second_hit,best_of_6_main_hits,any_of_6_second_hit,best_of_6_total_hits,predicted_odd_even,actual_odd_even,predicted_low_high,actual_low_high,predicted_sum,actual_sum,predicted_spread,actual_spread,predicted_max_run,actual_max_run,top1_score,top_signals,failure_tags
114000095,2025/11/27,04 09 16 26 33 35,02,08 09 11 12 14 20,02,09,1,1,2,1,3,2-4,3-3,5-1,3-3,74,123,12,31,2,1,56.0,20 11 14,"main_one_hit,second_hit,run_pattern_mismatch,low_high_bias,sum_gap_large,spread_gap_large"
114000096,2025/12/01,05 07 08 11 32 37,02,08 09 11 12 20 35,02,08 11,2,1,2,1,3,3-3,4-2,4-2,4-2,95,100,27,32,2,2,57.0,20 11 09,second_hit
114000097,2025/12/04,03 06 07 10 29 33,01,08 09 11 12 20 35,02,,0,0,0,0,0,3-3,4-2,4-2,4-2,95,88,27,30,2,2,58.0,11 20 09,"main_zero_hit,second_miss"
114000098,2025/12/08,05 14 15 20 32 37,02,08 09 11 14 20 35,02,14 20,2,1,2,1,3,3-3,3-3,4-2,3-3,97,123,27,32,2,2,56.0,20 11 09,"second_hit,sum_gap_large"
114000099,2025/12/11,05 06 11 15 22 37,07,08 09 11 14 20 35,02,11,1,0,2,0,2,3-3,4-2,4-2,4-2,97,96,27,32,2,2,58.0,20 11 09,"main_one_hit,second_miss"
114000100,2025/12/15,19 26 28 31 32 34,06,06 08 09 11 20 35,02,,0,0,1,0,1,3-3,2-4,4-2,1-5,89,170,29,15,2,2,58.0,20 11 35,"main_zero_hit,second_miss,low_high_bias,sum_gap_large,spread_gap_large"
114000101,2025/12/18,08 15 16 21 29 37,05,06 08 11 20 32 35,02,08,1,0,1,0,1,2-4,4-2,3-3,3-3,112,126,29,29,1,2,59.0,20 11 32,"main_one_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000102,2025/12/22,05 16 21 25 32 34,08,05 08 11 20 32 35,02,05 32,2,0,2,0,2,3-3,3-3,3-3,2-4,111,133,30,29,1,1,58.0,20 11 08,second_miss
114000103,2025/12/25,06 12 21 22 28 34,08,05 08 11 20 32 35,02,,0,0,1,0,1,3-3,1-5,3-3,2-4,111,123,30,28,1,2,59.0,20 11 32,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
114000104,2025/12/29,01 03 09 11 18 32,06,05 06 11 20 32 34,02,11 32,2,0,2,0,2,2-4,4-2,3-3,5-1,108,74,29,31,2,1,58.0,20 32 11,"second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000001,2026/01/01,07 14 22 23 31 35,01,05 06 08 11 20 32,02,,0,0,1,0,1,2-4,4-2,4-2,2-4,82,132,27,28,2,2,57.0,20 32 11,"main_zero_hit,second_miss,odd_even_bias,low_high_bias,sum_gap_large"
115000002,2026/01/05,11 14 19 25 34 37,04,05 06 11 20 32 35,02,11,1,0,2,0,2,3-3,4-2,3-3,3-3,109,140,30,26,2,1,55.0,11 20 32,"main_one_hit,second_miss,run_pattern_mismatch,sum_gap_large"
115000003,2026/01/08,07 17 25 26 27 33,03,05 11 20 32 34 35,02,,0,0,0,0,0,3-3,5-1,2-4,2-4,137,135,30,26,2,3,55.0,11 20 32,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias"
115000004,2026/01/12,01 09 14 17 33 38,03,05 06 11 20 32 34,02,,0,0,1,0,1,2-4,4-2,3-3,4-2,108,112,29,37,2,2,54.0,11 20 32,"main_zero_hit,second_miss,odd_even_bias"
115000005,2026/01/15,08 10 16 26 31 38,05,05 09 11 20 32 34,02,,0,0,0,0,0,3-3,1-5,3-3,3-3,111,129,29,30,1,1,54.0,11 32 09,"main_zero_hit,second_miss,odd_even_bias"
115000006,2026/01/19,10 16 20 23 35 37,05,06 09 11 20 32 34,02,20,1,0,2,0,2,2-4,3-3,3-3,2-4,112,141,28,27,1,1,54.0,11 32 09,"main_one_hit,second_miss,sum_gap_large"
115000007,2026/01/22,11 17 29 30 34 35,06,08 11 20 32 34 35,02,11 34 35,3,0,3,0,3,2-4,4-2,2-4,2-4,140,156,27,24,2,2,55.0,11 20 32,"main_good_hit,second_miss,odd_even_bias"
115000008,2026/01/26,03 08 12 26 32 38,04,08 11 20 32 34 35,02,08 32,2,0,2,0,2,2-4,1-5,2-4,3-3,140,119,27,35,2,1,54.0,11 32 20,"second_miss,run_pattern_mismatch"
115000009,2026/01/29,05 10 15 17 23 25,05,08 11 20 32 34 35,02,,0,0,0,0,0,2-4,5-1,2-4,4-2,140,95,27,20,2,1,55.0,32 11 20,"main_zero_hit,second_miss,run_pattern_mismatch,odd_even_bias,low_high_bias,sum_gap_large"
115000010,2026/02/02,01 12 14 15 27 29,05,11 17 20 32 34 35,04,,0,0,0,0,0,3-3,4-2,2-4,4-2,149,98,24,28,2,2,54.0,32 11 20,"main_zero_hit,second_miss,low_high_bias,sum_gap_large"
